scr|ecg|rate|resp
0.538586|0.891044|0.780106|0.936633
0.101180|0.635608|0.149402|0.160185
0.280635|0.233233|0.783393|0.431595
0.422835|0.931587|0.788819|0.467944
0.214396|0.827921|0.663800|0.379456
0.832393|0.982351|0.572435|0.468594
0.724225|0.008812|0.215073|0.003562
0.551027|0.595710|0.138607|0.513166
0.841145|0.643815|0.376529|0.459192
0.825941|0.791594|0.469993|0.273389
0.281753|0.553130|0.529645|0.799006
0.099911|0.619861|0.827277|0.361924
0.130219|0.719725|0.820430|0.182632
0.596762|0.583811|0.913195|0.722005
0.197458|0.966128|0.409990|0.878171
0.917981|0.003920|0.179185|0.882638
0.590928|0.811012|0.977648|0.397728
0.194373|0.905530|0.907951|0.947483
0.428064|0.328726|0.825849|0.124079
0.938460|0.250118|0.846946|0.719584
0.486017|0.832676|0.759020|0.492673
0.520945|0.205544|0.311393|0.326616
0.820185|0.332419|0.174072|0.445184
0.794198|0.173545|0.283366|0.703711
0.963428|0.483547|0.599790|0.322128
0.017018|0.357456|0.830728|0.830986
0.490733|0.846479|0.248890|0.358012
0.261328|0.676399|0.977081|0.147093
0.441575|0.387827|0.123910|0.059247
0.288371|0.934992|0.644159|0.229446
0.584009|0.260569|0.525014|0.447257
0.838733|0.035944|0.013741|0.524446
0.893165|0.403422|0.280848|0.340642
0.431026|0.510478|0.632770|0.870922
0.106449|0.112460|0.651933|0.368567
0.421230|0.268317|0.086911|0.783873
0.359052|0.871445|0.976575|0.671156
0.813948|0.594591|0.396239|0.995626
0.130169|0.682707|0.780515|0.486857
0.305133|0.479244|0.018632|0.206831
0.872386|0.136148|0.415930|0.248538
0.670198|0.258386|0.743323|0.927519
0.624130|0.882562|0.840652|0.340435
0.312868|0.452287|0.981004|0.330678
0.579136|0.010970|0.604180|0.467039
0.230836|0.984855|0.866207|0.139055
0.284582|0.518631|0.429977|0.037926
0.703899|0.030591|0.999247|0.366956
0.007664|0.126794|0.520417|0.894640
0.297747|0.334048|0.217812|0.970300
0.802229|0.312422|0.957563|0.286869
0.890890|0.039550|0.825991|0.283811
0.855538|0.493918|0.298192|0.301937
0.921894|0.197474|0.956607|0.974451
0.149154|0.405714|0.641468|0.383840
0.057540|0.451309|0.491236|0.307328
0.600997|0.517078|0.030764|0.451031
0.619494|0.746359|0.704791|0.681337
0.374279|0.716393|0.287298|0.244012
0.858639|0.930338|0.361939|0.724194
0.302584|0.335493|0.826186|0.610902
0.455028|0.007700|0.126574|0.672015
0.785261|0.482689|0.505613|0.256572
0.417101|0.948975|0.997382|0.251654
0.838499|0.004181|0.765390|0.999312
0.544392|0.728845|0.284980|0.309482
0.397009|0.157991|0.138779|0.375187
0.100614|0.334400|0.854678|0.838426
0.841450|0.517026|0.650621|0.586961
0.787422|0.714264|0.939222|0.019888
0.521064|0.068087|0.883957|0.724555
0.485624|0.881358|0.476396|0.334491
0.759132|0.030974|0.829302|0.449840
0.387943|0.902606|0.394787|0.258756
0.656017|0.469062|0.029731|0.467358
0.948606|0.039792|0.892545|0.594671
0.298955|0.597323|0.362433|0.185884
0.002660|0.225071|0.118663|0.528413
0.956889|0.865513|0.928119|0.174360
0.694450|0.898636|0.331276|0.929584
0.339800|0.402237|0.790407|0.179170
0.326014|0.075168|0.517919|0.558847
0.296814|0.226453|0.473305|0.182689
0.847509|0.534711|0.860533|0.794405
0.324028|0.133730|0.844322|0.978422
0.076188|0.596670|0.753939|0.173447
0.274437|0.714860|0.357190|0.256315
0.242559|0.412703|0.130562|0.871339
0.460100|0.618339|0.104776|0.603525
0.132899|0.913147|0.473799|0.025267
0.676138|0.779139|0.201205|0.764485
0.922736|0.654059|0.754626|0.784864
0.525402|0.308796|0.817914|0.246918
0.281941|0.412637|0.606880|0.367578
0.674680|0.440107|0.032785|0.499679
0.153182|0.865452|0.221418|0.552603
0.736707|0.977570|0.495060|0.295216
0.309533|0.646156|0.829199|0.930136
0.902930|0.697422|0.423205|0.566281
0.823636|0.961668|0.778864|0.591092
0.759751|0.611728|0.343396|0.692492
0.168729|0.063689|0.535616|0.355822
0.836859|0.219696|0.708711|0.458326
0.135485|0.417446|0.753093|0.685913
0.804964|0.396350|0.986259|0.080633
0.781077|0.917589|0.143444|0.147641
0.414587|0.812535|0.825759|0.896224
0.627766|0.627913|0.465167|0.783809
0.746964|0.502891|0.560829|0.400048
0.058009|0.657481|0.131863|0.221111
0.108176|0.744796|0.107136|0.412614
0.580663|0.449516|0.530779|0.593095
0.013726|0.638284|0.727868|0.044469
0.158870|0.698648|0.953969|0.446895
0.019706|0.032053|0.750300|0.590698
0.820520|0.574777|0.405322|0.365381
0.248730|0.371137|0.276984|0.464483
0.976781|0.743541|0.383226|0.882337
0.863510|0.116744|0.441679|0.524604
0.543536|0.185029|0.164087|0.538319
0.308577|0.018480|0.951967|0.314608
0.797651|0.387805|0.065816|0.991144
0.050205|0.699756|0.891576|0.702540
0.356240|0.809062|0.935706|0.260386
0.999350|0.179185|0.781597|0.970586
0.579110|0.906184|0.758628|0.695999
0.391783|0.568075|0.912984|0.855175
0.890763|0.123376|0.353921|0.287280
0.657305|0.463246|0.995976|0.179047
0.862852|0.137363|0.949357|0.173592
0.132842|0.528359|0.261367|0.069179
0.369484|0.702491|0.109596|0.365222
0.769470|0.070087|0.157004|0.504843
0.276562|0.408206|0.270586|0.562606
0.485872|0.917457|0.942752|0.086549
0.022493|0.247204|0.050109|0.299635
0.318606|0.253202|0.985237|0.708533
0.729893|0.038770|0.602901|0.158266
0.867194|0.399856|0.914225|0.205666
0.722219|0.027464|0.238806|0.817331
0.666293|0.696959|0.215593|0.533951
0.042762|0.365369|0.478048|0.319314
0.273081|0.590822|0.986469|0.441105
0.981501|0.631095|0.536599|0.107079
0.001774|0.747762|0.828791|0.129067
0.595297|0.057978|0.743845|0.710704
0.153276|0.735060|0.757375|0.268561
0.347435|0.674136|0.795064|0.666465
0.037578|0.196699|0.323987|0.481381
0.975744|0.235070|0.978189|0.939492
0.135480|0.039713|0.094989|0.505693
0.357194|0.597752|0.766638|0.986111
0.075861|0.325811|0.683440|0.481028
0.108921|0.526070|0.441682|0.079604
0.078798|0.280400|0.725662|0.130774
0.119848|0.982214|0.647741|0.378449
0.629078|0.152045|0.029048|0.145524
0.506090|0.327198|0.414434|0.646731
0.057410|0.095645|0.064568|0.864929
0.995219|0.689256|0.981263|0.298026
0.918435|0.732615|0.002218|0.439106
0.049579|0.294801|0.700514|0.739621
0.234982|0.961596|0.733872|0.344770
0.207576|0.796836|0.990345|0.257494
0.228804|0.665838|0.133044|0.279128
0.719923|0.623444|0.483473|0.291210
0.902414|0.611324|0.540890|0.988831
0.383619|0.994411|0.100374|0.028623
0.630317|0.472116|0.175851|0.689248
0.605922|0.674140|0.644609|0.382488
0.707889|0.634596|0.318951|0.021069
0.164404|0.461915|0.027581|0.584147
0.616164|0.929982|0.633820|0.757867
0.319235|0.169077|0.099412|0.552355
0.258326|0.871205|0.929645|0.869798
0.186052|0.377211|0.109544|0.873743
0.739559|0.967352|0.857103|0.410845
0.241309|0.453815|0.927513|0.904436
0.952806|0.590028|0.016879|0.105891
0.787394|0.473738|0.204691|0.006149
0.646952|0.843868|0.104107|0.893356
0.619913|0.755788|0.472975|0.205218
0.672177|0.733078|0.288788|0.281114
0.927462|0.066077|0.472341|0.526759
0.824637|0.751069|0.007830|0.974604
0.288633|0.204623|0.719682|0.468463
0.167054|0.651125|0.309350|0.946839
0.254558|0.688146|0.801990|0.803937
0.332651|0.514168|0.512610|0.051522
0.709033|0.116131|0.607511|0.131669
0.729751|0.099784|0.601629|0.746470
0.374015|0.307178|0.698342|0.840885
0.495031|0.819029|0.279701|0.123781
0.855302|0.383241|0.726253|0.552404
0.764470|0.534375|0.803193|0.175215
0.927643|0.590291|0.460305|0.502686
0.176505|0.343091|0.740430|0.834511
0.848972|0.621402|0.756362|0.583256
0.520753|0.419324|0.771254|0.865205
0.475326|0.678421|0.856811|0.840375
0.784599|0.143392|0.248702|0.148258
0.229968|0.942139|0.727252|0.277209
